Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_C57BL.6J,A.J_vs_C57BL.6J,C57BL.6J_vs_129s1.SvImJ,C57BL.6J_vs_A.J,C57BL.6J_vs_C57BL.6J,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_C57BL.6J,CC002.Unc_vs_C57BL.6J,CC003.Unc_vs_C57BL.6J,CC004.TauUnc_vs_C57BL.6J,CC005.TauUnc_vs_C57BL.6J,CC006.TauUnc_vs_C57BL.6J,CC007.Unc_vs_C57BL.6J,CC008.GeniUnc_vs_C57BL.6J,CC009.Unc_vs_C57BL.6J,CC010.GeniUnc_vs_C57BL.6J,CC011.Unc_vs_C57BL.6J,CC012.GeniUnc_vs_C57BL.6J,CC013.GeniUnc_vs_C57BL.6J,CC015.Unc_vs_C57BL.6J,CC016.GeniUnc_vs_C57BL.6J,CC017.Unc_vs_C57BL.6J,CC018.Unc_vs_C57BL.6J,CC019.TauUnc_vs_C57BL.6J,CC021.Unc_vs_C57BL.6J,CC022.GeniUnc_vs_C57BL.6J,CC023.GeniUnc_vs_C57BL.6J,CC024.GeniUnc_vs_C57BL.6J,CC025.GeniUnc_vs_C57BL.6J,CC027.GeniUnc_vs_C57BL.6J,CC028.GeniUnc_vs_C57BL.6J,CC030.GeniUnc_vs_C57BL.6J,CC031.GeniUnc_vs_C57BL.6J,CC032.GeniUnc_vs_C57BL.6J,CC033.GeniUnc_vs_C57BL.6J,CC034.Unc_vs_C57BL.6J,CC035.Unc_vs_C57BL.6J,CC037.TauUnc_vs_C57BL.6J,CC038.GeniUnc_vs_C57BL.6J,CC039.Unc_vs_C57BL.6J,CC040.TauUnc_vs_C57BL.6J,CC041.TauUnc_vs_C57BL.6J,CC042.GeniUnc_vs_C57BL.6J,CC043.GeniUnc_vs_C57BL.6J,CC044.Unc_vs_C57BL.6J,CC045.GeniUnc_vs_C57BL.6J,CC046.Unc_vs_C57BL.6J,CC047.Unc_vs_C57BL.6J,CC051.TauUnc_vs_C57BL.6J,CC056.GeniUnc_vs_C57BL.6J,CC057.Unc_vs_C57BL.6J,CC059.TauUnc_vs_C57BL.6J,CC061.GeniUnc_vs_C57BL.6J,CC065.Unc_vs_C57BL.6J,Cast.EiJ_vs_C57BL.6J,IFNG_vs_C57BL.6J,NOD.ShiLtJ_vs_C57BL.6J,NOS_vs_C57BL.6J,NZO.H1LtJ_vs_C57BL.6J,PWK.PhJ_vs_C57BL.6J,Phox_vs_C57BL.6J,Rag_vs_C57BL.6J,Wsb.Eij_vs_C57BL.6J,in_vitro_vs_C57BL.6J,Functional_Category
Rv2470,0.9642,0.8135,0.3331,0.0448,0.0248,1.0,0.002,0.4909,0.4774,0.4686,1.0,0.4241,1.0,0.7234,0.0,0.6019,0.9916,0.6151,0.4166,0.0001,0.9568,0.7502,1.0,0.4005,1.0,1.0,1.0,0.235,0.2713,1.0,1.0,1.0,1.0,0.4038,0.7338,0.9809,0.1437,0.499,0.5569,0.0657,0.0003,1.0,1.0,1.0,0.4893,0.9257,0.033,0.8815,0.912,0.0,0.0,0.5488,0.3559,0.895,0.002,1.0,1.0,0.0019,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3982,1.0,0.3991,1.0,0.0345,1.0,0.0215,1.0,1.0,1.0,1.0,1.0,1.0,0.1541,1.0,1.0,1.0,1.0,1.0,1.0,0.3967,1.0,1.0,1.0,1.0,0.3942,1.0,0.4027,1.0,1.0,1.0,1.0,0.3953,0.4035,1.0,1.0,1.0,1.0,1.0,1.0,0.4012,0.4085,0.4016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0193,1.0,1.0,1.0,1.0,1.0,1.0,0.402,1.0,0.4,1.0,intermediary metabolism and respiration
Rv2471,0.7492,0.8491,0.9524,0.6423,0.7819,0.4558,0.5902,0.8221,0.4966,0.4026,0.765,0.4719,0.6928,0.175,0.7225,0.2519,0.0935,0.4646,0.2633,0.822,0.1789,0.8198,0.8026,0.0,0.0382,0.6891,0.7122,0.7331,0.4179,0.668,0.121,0.134,0.3056,0.6044,0.9188,0.9957,0.7315,0.1495,0.2253,0.5182,0.1347,0.5577,0.5536,0.9566,0.202,0.3547,0.0091,0.367,0.3343,0.4092,0.3486,0.9501,0.3384,0.9169,0.5326,0.4686,0.7181,0.794,0.3711,0.0539,0.8155,0.3403,0.6503,0.5255,0.2903,0.6003,0.2901,0.5996,1.0,0.8229,0.2165,0.5887,0.5514,0.5252,0.6956,0.545,0.1518,0.59,0.5611,0.6004,0.5308,0.6635,0.1994,0.6641,0.8165,0.5321,0.5028,0.8524,0.7679,0.9,0.6132,0.5052,0.7705,0.1506,0.1871,0.7886,0.0983,0.3159,0.3934,0.1736,0.6768,0.3226,0.4142,0.4244,0.8056,0.9583,0.4307,0.7454,0.2565,0.3005,0.7182,0.2882,0.2109,0.3579,0.4469,0.5429,0.5138,0.6052,0.5879,0.2968,0.5031,0.1757,0.3362,0.1176,0.4337,0.0461,0.4666,0.1996,intermediary metabolism and respiration
Rv2473,0.779,0.934,0.717,0.8372,0.7647,0.0627,0.5783,0.8806,0.6541,0.8208,0.5191,0.3549,0.8721,0.8289,0.0372,0.3528,0.7833,0.847,0.803,0.633,0.8709,0.9258,0.9259,0.1848,0.3543,0.9572,0.7542,0.5067,0.5651,0.4843,0.4847,0.8639,0.377,0.521,0.8091,0.4524,0.6133,0.9209,0.4016,0.8095,0.9203,0.7744,0.8995,0.8593,0.8591,0.7264,0.069,0.6629,0.7381,0.6479,0.7371,0.7173,0.6226,0.7039,0.9628,0.6707,0.7124,0.2936,0.2993,0.2278,0.7226,0.5917,0.9457,0.9914,0.9365,0.8729,0.9352,0.8732,1.0,0.2617,0.8591,0.3952,0.7104,0.4158,0.3953,0.752,0.3416,0.1255,0.4884,0.8583,0.7719,0.769,0.8069,0.2574,0.6947,0.3496,0.355,0.4387,0.1077,0.0705,0.9369,0.972,0.5726,0.336,0.0828,0.9993,0.6926,0.5516,0.1802,0.2348,0.5512,0.2546,0.9804,0.3584,0.5013,0.8577,0.6663,0.5636,0.5047,0.9419,0.4402,0.3807,0.4476,0.7124,0.2288,0.8603,0.8129,0.6166,0.7859,0.994,0.6791,0.4484,0.804,0.4962,0.535,0.2024,0.3106,0.392,cell wall and cell processes
Rv2476c,0.0827,0.0734,0.5812,0.5086,0.1813,0.3017,0.0516,0.6342,0.0,0.0023,0.0,0.0,0.0882,0.4155,0.005,0.0255,0.062,0.2991,0.8578,0.0,0.0058,0.0,0.0004,0.7803,0.1417,0.002,0.0005,0.3007,0.0,0.0003,0.0023,0.0,0.0,0.4721,0.1873,0.1722,0.0,0.0,0.382,0.303,1.0,0.0,0.0008,0.099,0.438,0.0813,0.0,0.0,0.0,0.0037,0.0063,0.0036,0.1065,0.0,0.2313,0.0,0.9308,0.0096,0.0166,0.0,0.416,0.3931,0.8262,0.0,0.0008,0.0124,0.0005,0.0106,1.0,0.0,0.0149,0.0015,0.0001,0.0881,0.5267,0.0437,0.0339,0.8427,0.0088,0.6182,0.001,0.2719,0.1806,0.9503,0.4412,0.0011,0.0,0.0309,0.821,0.0009,0.0017,0.106,0.0121,0.0,0.032,0.2784,0.8915,0.1304,0.0525,0.0067,0.2994,0.0078,0.002,0.011,0.0001,0.0167,0.0016,0.9482,0.2048,0.0614,0.0016,0.2884,0.1867,0.432,0.027,0.4213,0.6446,0.0002,0.1512,0.0,0.0008,0.0015,0.2612,0.0191,0.6533,0.0011,0.0454,0.0,intermediary metabolism and respiration
Rv2477c,0.1352,0.9545,0.8334,0.8772,0.3934,1.0,1.0,0.6312,0.9382,0.9372,1.0,1.0,1.0,0.1582,0.1574,0.0251,0.0239,0.062,0.0642,0.0,0.3996,0.4153,1.0,0.7153,1.0,0.5018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0238,0.0135,1.0,0.2762,0.1022,1.0,0.0,0.0011,1.0,1.0,1.0,0.4931,0.5005,0.8979,0.2351,0.0023,0.5066,0.7327,0.4978,0.8075,0.3654,0.495,1.0,0.9341,0.4953,1.0,1.0,1.0,1.0,0.0608,0.0601,1.0,1.0,1.0,1.0,1.0,0.1574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3973,1.0,1.0,0.3993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv2479c,0.5403,0.4141,0.9584,0.6474,0.9519,0.5206,0.8961,0.682,0.9597,0.9932,0.4941,0.3801,0.91,0.0024,0.7038,0.2304,0.177,0.202,0.0407,0.0,0.2077,0.345,0.6176,0.9784,0.3678,0.3877,0.3718,0.4267,0.7901,0.1989,0.4825,0.3698,0.1038,0.2763,0.5452,0.3415,0.0084,0.1179,0.888,0.6006,0.4419,0.0,0.0001,0.3251,0.1514,0.4631,0.8558,0.755,0.3193,0.6853,0.4423,0.667,0.6423,0.8495,0.891,0.5127,0.1414,0.9677,0.6811,0.6031,0.9996,0.0718,0.9468,0.1212,0.0031,0.0113,0.0021,0.012,1.0,0.0292,0.3159,0.0228,0.0822,0.0591,0.0467,0.0853,0.8622,0.7295,0.4997,0.1631,0.075,0.266,0.608,0.7081,0.2281,0.6098,0.0046,0.0273,0.2756,0.0561,0.0987,0.2566,0.0069,0.6323,0.7166,0.2815,0.0301,0.1452,0.8408,0.2848,0.3801,0.2422,0.0238,0.5525,0.7817,0.0124,0.7089,0.6744,0.7421,0.2478,0.1793,0.5836,0.0026,0.0583,0.3457,0.8354,0.2307,0.0549,0.0384,0.0059,0.2477,0.033,0.0648,0.0504,0.0455,0.0012,0.3659,0.0005,insertion seqs and phages
Rv2480c,0.9111,0.6906,0.8837,0.7522,0.7461,0.4454,0.7154,0.6597,0.6894,0.7763,0.6987,0.6786,0.9915,0.0886,0.9782,0.8992,0.43,0.9359,0.2389,0.0327,0.3831,0.9227,0.5123,0.5093,0.799,0.6503,0.7468,0.5289,0.6275,0.8707,0.7536,0.6946,0.8106,0.5724,0.8971,0.3515,0.2706,0.4445,0.6556,0.6181,0.9647,0.0379,0.0968,0.5586,0.6068,0.7214,0.9003,0.8476,0.711,0.7192,0.7578,0.5626,0.9272,0.9387,0.8018,0.7033,0.5498,0.9358,0.6729,0.1156,0.6509,0.7294,0.9777,0.55,0.136,0.0939,0.1397,0.0959,1.0,0.711,0.758,0.1965,0.6019,0.6782,0.5531,0.5667,0.434,0.5761,0.8736,0.3909,0.3823,0.6974,0.9108,0.7576,0.5332,0.625,0.2244,0.189,0.3632,0.5178,0.4232,0.8037,0.2351,0.7122,0.9923,0.457,0.4408,0.6092,0.9277,0.3995,0.6434,0.5194,0.1358,0.7097,0.8845,0.4072,0.9345,0.682,0.8102,0.985,0.8131,0.5871,0.1039,0.6128,0.8286,0.6247,0.8736,0.3135,0.4538,0.1996,0.8054,0.2451,0.3702,0.137,0.3035,0.1138,0.428,0.2857,insertion seqs and phages
Rv2482c,0.4621,0.3961,0.5386,0.0465,0.7332,0.8355,0.6154,0.7794,0.8769,0.8467,0.9273,0.375,0.4186,0.339,0.0021,0.4279,0.0303,0.1444,0.1066,0.0,0.1646,0.5619,0.0281,0.4179,0.5844,0.4295,0.4779,0.2962,0.9683,0.7656,0.6185,0.9777,0.8606,0.939,0.4593,0.536,0.3698,0.4618,0.5623,0.5996,0.0551,0.3951,0.6613,0.6367,0.8911,0.2785,0.6034,0.6022,0.6341,0.2241,0.9554,0.4554,0.9823,0.8806,0.4591,0.7301,0.3048,0.5251,0.524,0.0136,0.0947,0.706,0.1878,0.9077,0.4846,0.6433,0.489,0.6435,1.0,0.4608,0.8344,0.25,0.4675,0.4058,0.4899,0.8356,0.3073,0.6842,0.6407,0.3868,0.9,0.8326,0.6268,0.5163,0.56,0.8161,0.7511,0.4112,0.2075,0.7245,0.7254,0.2514,0.7052,0.4741,0.4706,0.7781,0.9584,0.3813,0.9265,0.3491,0.9979,0.5584,0.4692,0.5197,0.8896,0.5888,0.9625,0.3253,0.4623,0.613,0.6396,0.4893,0.8327,0.8356,0.6224,0.5966,0.5581,0.7025,0.8544,0.3365,0.2543,0.5154,0.3441,0.0744,0.8424,0.6424,0.8504,0.536,lipid metabolism
Rv2483c,0.9122,0.7891,0.8227,0.9452,0.4674,0.0286,0.9401,0.9103,0.4479,0.8649,0.8615,0.8798,0.9432,0.1608,0.8345,0.323,0.2689,0.9427,0.7407,0.1638,0.4202,0.3072,0.3838,0.0,0.0,0.2885,0.2943,0.1106,0.5736,0.8549,0.0164,0.0025,0.5221,0.8142,0.782,0.3091,0.7677,0.6258,0.9354,0.2944,0.732,0.9462,0.9368,0.9985,0.0891,0.9578,0.8548,0.4867,0.5716,0.9206,0.7809,0.4251,0.6554,0.9968,0.6038,0.9641,0.0181,0.7287,0.9599,0.4911,0.5054,0.7554,0.7478,0.2755,0.8113,0.8,0.8142,0.7941,1.0,0.4734,0.6226,0.285,0.5234,0.7156,0.8184,0.9023,0.0727,0.7306,0.5271,0.7505,0.8143,0.5614,0.3768,0.7358,0.3363,0.8998,0.7543,0.5607,0.9622,0.6145,0.8028,0.4011,0.9638,0.8594,0.8498,0.7563,0.9799,0.1543,0.29,0.8608,0.7479,0.2354,0.8469,0.929,0.866,0.7364,0.5317,0.9008,0.8227,0.681,0.4746,0.6286,0.6057,0.3631,0.9766,0.037,0.4307,0.6546,0.4859,0.6539,0.8511,0.5012,0.7735,0.3431,0.6694,0.9813,0.8314,0.7588,lipid metabolism
Rv2484c,0.317,0.3992,0.7201,0.021,0.2947,0.1497,0.6633,0.1735,0.6755,0.3067,0.1414,0.5692,0.2802,0.9081,0.2458,0.9565,0.7886,0.9192,0.7074,0.0319,0.9439,0.5031,0.0819,0.4072,0.7334,0.6431,0.4319,0.6731,0.7481,0.1365,0.3829,0.6853,0.4267,0.6826,0.9072,0.4001,0.0014,0.9797,0.8646,0.7935,0.8802,0.1243,0.108,0.8437,0.866,0.9203,0.8938,0.4033,0.4586,0.1338,0.4246,0.951,0.55,0.6876,0.2435,0.8296,0.7601,0.1449,0.3248,0.3019,0.9414,0.598,0.593,0.5,0.8407,0.8459,0.8436,0.8496,1.0,0.0,0.5958,0.5171,0.7316,0.9454,0.7248,0.9346,0.3462,0.9719,0.7804,0.7336,0.6137,0.5382,0.621,0.8055,0.2466,0.723,0.5315,0.8764,0.3383,0.7896,0.4632,0.6856,0.3745,0.511,0.9189,0.9657,0.6312,0.9091,0.5921,0.885,0.5363,0.2503,0.2038,0.9677,0.7923,0.7934,0.9158,0.5401,0.7042,0.9698,0.9428,0.586,0.7432,0.5219,0.6878,0.7824,0.5214,0.7381,0.9688,0.4601,0.6891,0.9202,0.7401,0.7899,0.6636,0.7661,0.5216,0.9073,lipid metabolism
Rv2485c,0.7565,0.6806,0.7422,0.2216,0.7124,0.0155,0.9458,0.8293,0.909,0.8468,0.9647,0.5903,0.5525,0.4376,0.4642,0.5734,0.8401,0.714,0.7559,0.608,0.1863,0.5786,0.6716,0.9679,0.6276,0.9037,0.1718,0.3816,0.5972,0.1081,0.1434,0.5134,0.7904,0.9112,0.6952,0.9066,0.1128,0.4448,0.4428,0.3564,0.8461,0.8257,0.6686,0.8427,0.3244,0.7067,0.0506,0.7799,0.6688,0.6942,0.8311,0.8588,0.9636,0.9032,0.9709,0.7766,0.4601,0.7897,0.231,0.1978,0.705,0.8348,0.7163,0.7571,0.9526,0.6009,0.9517,0.6124,1.0,0.2558,0.6524,0.9552,0.8609,0.8112,0.9934,0.9216,0.8901,0.8393,0.8987,0.7429,0.8015,0.7732,0.8274,0.8918,0.9148,0.945,0.625,0.9029,0.9471,0.9728,0.5683,0.8774,0.9871,0.8545,0.4273,0.9748,0.7194,0.6318,0.9452,0.3302,0.9821,0.7087,0.5592,0.8569,0.9111,0.9533,0.9406,0.9125,0.4956,0.9309,0.8821,0.6671,0.7704,0.5511,0.9939,0.5914,0.7097,0.8388,0.7304,0.7376,0.6874,0.6734,0.8492,0.8469,0.6573,0.3969,0.8632,0.77,intermediary metabolism and respiration
Rv2486,0.8997,0.8821,0.8752,0.7626,0.7219,0.3756,0.9172,0.7822,0.206,0.4218,0.3535,0.9088,0.2455,0.4259,0.6529,0.8091,0.6345,0.6447,0.7892,0.7058,0.3887,0.263,0.7752,0.7595,0.4651,0.9634,0.3924,0.0709,0.9691,0.4619,0.0472,0.4546,0.4802,0.7918,0.6936,0.3525,0.013,0.5733,0.743,0.5082,0.0912,0.1988,0.5999,0.4058,0.8359,0.6324,0.4655,0.6758,0.9657,0.8639,0.8438,0.8584,0.7086,0.7515,0.9104,0.8927,0.2787,0.9014,0.9917,0.038,0.1452,0.0684,0.779,0.4013,0.7943,0.8348,0.7907,0.8425,1.0,0.1094,0.7423,0.8731,0.6859,0.8777,0.7811,0.8594,0.7116,0.381,0.8963,0.7526,0.4017,0.9216,0.7778,0.8738,0.7718,0.51,0.5232,0.8305,0.1227,0.7771,0.8256,0.6054,0.7094,0.614,0.3421,0.7027,0.5195,0.7872,0.8076,0.5981,0.6259,0.8927,0.5359,0.4136,0.5562,0.9265,0.8136,0.4658,0.4388,0.9648,0.4313,0.8658,0.9734,0.1938,0.8907,0.2785,0.8991,0.577,0.7773,0.8797,0.9431,0.7033,0.9983,0.7127,0.6064,0.7484,0.6093,0.3822,lipid metabolism
Rv2487c,0.6429,0.5561,0.4327,0.9733,0.308,0.0029,0.6651,0.423,0.7507,0.5739,0.6897,0.8191,0.5121,0.4929,0.4686,0.5887,0.0846,0.5541,0.5377,0.0378,0.9552,0.5056,0.3145,0.3118,0.1279,0.7818,0.076,0.0171,0.5798,0.5296,0.5977,0.6226,0.4626,0.9695,0.9708,0.7264,0.031,0.2197,0.5143,0.8403,0.7989,0.1285,0.9852,0.1289,0.9964,0.6851,0.0006,0.94,0.8194,0.7583,0.301,0.324,0.4798,0.9749,0.5881,0.7123,0.2447,0.2414,0.5201,0.325,0.7481,0.7115,0.7846,0.7102,0.8794,0.0466,0.8851,0.0495,1.0,0.5545,0.535,0.681,0.7133,0.2846,0.6343,0.6555,0.4972,0.3105,0.6845,0.8281,0.862,0.7407,0.0466,0.8838,0.5984,0.5442,0.7359,0.4403,0.4525,0.1408,0.8948,0.5194,0.3054,0.9399,0.3707,0.4198,0.5806,0.5065,0.5735,0.7936,0.9329,0.3062,0.8505,0.635,0.8933,0.7164,0.6722,0.7715,0.3766,0.1324,0.2244,0.8536,0.3543,0.4855,0.5973,0.2082,0.7935,0.6757,0.6464,0.1567,0.2217,0.7086,0.5765,0.755,0.1838,0.1464,0.6779,0.6669,PE/PPE
Rv2488c,0.6236,0.4724,0.9477,0.0955,0.7518,0.0004,0.6259,0.8613,0.7977,0.6727,0.1831,0.2397,0.6812,0.6983,0.8212,0.9212,0.8731,0.5863,0.956,0.6096,0.6793,0.9295,0.5963,0.3081,0.3587,0.987,0.2845,0.1157,0.5706,0.0437,0.0886,0.8369,0.4909,0.8829,0.7314,0.2854,0.0311,0.5528,0.4942,0.5302,0.5556,0.3767,0.4188,0.8791,0.6748,0.874,0.924,0.7195,0.8888,0.271,0.6546,0.8353,0.6883,0.8377,0.6916,0.8626,0.4642,0.9899,0.394,0.2432,0.7806,0.9737,0.7377,0.3942,0.6579,0.5318,0.6555,0.5404,1.0,0.759,0.6014,0.6088,0.3581,0.9953,0.7089,0.5826,0.8944,0.4551,0.1327,0.0474,0.5034,0.1654,0.6065,0.2725,0.9667,0.3647,0.6377,0.3929,0.6135,0.7729,0.4768,0.8125,0.3611,0.9283,0.4048,0.6121,0.3472,0.3085,0.4523,0.4097,0.0308,0.9654,0.8363,0.671,0.2721,0.6722,0.3842,0.8241,0.2277,0.2413,0.0442,0.4783,0.4289,0.8509,0.7493,0.2357,0.6814,0.4023,0.855,0.9907,0.9929,0.4267,0.9607,0.7393,0.4409,0.276,0.2853,0.765,regulatory proteins
Rv2490c,0.0461,0.0489,0.5633,0.6235,0.7859,0.898,0.7701,0.756,0.8232,0.6729,0.8868,0.7647,0.618,0.7465,0.1976,0.766,0.1821,0.9944,0.0062,0.0877,0.258,0.7869,0.0857,0.5159,0.2437,0.9306,0.2911,0.1358,0.9868,0.0696,0.0733,0.7035,0.7679,0.0379,0.0696,0.6164,0.0,0.3775,0.4211,0.746,0.8427,0.5295,0.8896,0.6652,0.712,0.768,0.2791,0.3102,0.497,0.1982,0.9159,0.7505,0.8064,0.9005,0.7205,0.8752,0.5868,0.6602,0.5834,0.9218,0.8139,0.3429,0.7441,0.6607,0.7915,0.5744,0.7998,0.5795,1.0,0.0075,0.9974,0.7373,0.5683,0.3748,0.9792,0.9879,0.4088,0.7879,0.8917,0.9923,0.9472,0.8722,0.5687,0.6868,0.9419,0.9053,0.8294,0.8539,0.2536,0.4724,0.9012,0.7003,0.7462,0.2344,0.306,0.8106,0.6934,0.7807,0.8865,0.4651,0.604,0.9743,0.9732,0.3886,0.9984,0.7509,0.8993,0.209,0.7096,0.5405,0.8195,0.7046,0.7106,0.7273,0.9594,0.6981,0.8078,0.6049,0.7915,0.515,0.4229,0.9179,0.9184,0.7578,0.9444,0.3965,0.9379,0.8697,PE/PPE
Rv2493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"virulence, detoxification, adaptation"
Rv2494,0.2698,0.4877,0.475,0.3011,0.4834,1.0,0.8093,0.8476,0.8382,0.6804,0.7585,0.5091,0.7926,0.7276,0.5624,0.8485,0.4674,0.9099,0.7211,0.2557,0.5697,0.1508,0.492,0.4205,0.0399,0.9731,0.4797,1.0,1.0,0.0452,0.0347,0.0668,0.8753,0.3648,0.6602,0.0851,0.0467,0.7373,0.7235,0.7437,0.2916,0.3321,0.6481,0.4025,0.8983,0.8464,0.0528,0.7722,0.9936,0.8257,0.4041,0.3859,0.7873,0.6445,0.2139,0.8643,0.1173,0.3473,0.1547,0.4641,0.95,0.0233,0.8481,0.0081,0.6739,0.3565,0.6566,0.3699,1.0,0.0833,0.6291,0.5665,0.8823,0.5236,0.558,0.448,0.7224,0.7553,0.5356,0.5375,0.8477,0.8547,0.5803,0.4385,0.5445,0.7214,0.5562,0.6866,0.3423,0.7747,0.9527,0.7011,0.548,0.9012,0.2085,0.7359,0.7932,0.5557,0.7078,0.2375,0.997,0.7794,0.232,0.5539,0.3569,0.7195,0.5086,0.9232,0.6039,0.7076,0.7115,0.9076,0.7452,0.9434,0.7403,0.3577,0.6789,0.7124,0.4561,0.9009,0.4096,0.7047,0.6408,0.749,0.8606,0.6153,0.8173,0.6033,"virulence, detoxification, adaptation"
