ORF,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,Functional_Category
Rv0632c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64018,1.0,1.0,1.0,1.0,1.0,0.21924,1.0,0.9738,1.0,0.8397,0.69606,1.0,0.85557,0.11818,1.0,0.84403,0.10289,0.07811,1.0,1.0,1.0,1.0,0.32164,1.0,1.0,0.77047,0.7741899999999999,1.0,1.0,1.0,1.0,1.0,0.02397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45737,1.0,1.0,1.0,0.5596800000000001,lipid metabolism
Rv0633c,1.0,1.0,1.0,1.0,1.0,0.33585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76879,1.0,1.0,0.8226899999999999,1.0,1.0,0.80003,1.0,1.0,1.0,0.98114,0.5592199999999999,1.0,1.0,1.0,1.0,0.3875,0.86792,0.68662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97527,1.0,0.88475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70407,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0634B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63885,0.00525,0.60337,1.0,0.01814,0.90622,0.04454,0.18746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95959,0.98314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999,information pathways
Rv0634c,1.0,1.0,1.0,1.0,1.0,0.92337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93655,0.61282,0.98209,0.74964,1.0,1.0,1.0,1.0,0.29236,1.0,0.8501299999999999,0.75134,0.77979,0.8666799999999999,0.532,1.0,0.83339,0.86,0.0335,1.0,1.0,1.0,1.0,0.6853,0.8424299999999999,1.0,1.0,1.0,1.0,0.9305,1.0,1.0,1.0,0.12432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3945,1.0,1.0,1.0,0.8327100000000001,"virulence, detoxification, adaptation"
Rv0635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26057,0.8899600000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76088,1.0,0.62383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70828,0.0834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8897299999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5965199999999999,0.8856299999999999,0.66804,0.7782399999999999,1.0,0.8692799999999999,0.7350399999999999,0.9790000000000001,1.0,1.0,0.58613,1.0,1.0,1.0,1.0,1.0,0.84403,1.0,0.76151,0.5142399999999999,1.0,1.0,1.0,0.48814,1.0,1.0,0.36005,1.0,1.0,1.0,1.0,0.45749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72792,1.0,1.0,1.0,1.0,1.0,0.54577,0.31957,intermediary metabolism and respiration
Rv0638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47544,1.0,0.6088,0.5712,0.96954,0.2086,0.00605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4851,0.63759,1.0,1.0,1.0,1.0,0.6028100000000001,0.72336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999,information pathways
Rv0640,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0642c,1.0,1.0,0.33516,0.0,0.30832,1.0,0.20462,1.0,0.0,0.08215,1.0,1.0,1.0,0.05125,0.08586,0.029460000000000007,0.054520000000000006,0.03178,0.10026,0.01946,0.01218,0.0,1.0,0.0,0.90012,1.0,0.00487,0.8233,0.0,0.0,0.8225399999999999,0.0,0.06333,1.0,1.0,0.67278,0.00665,0.1995,1.0,0.34752,0.0,0.84346,0.4098600000000001,1.0,0.97527,1.0,0.0,0.0,0.0,0.0,0.15711,0.51474,1.0,0.0,1.0,1.0,0.41128,1.0,1.0,0.9570000000000001,1.0,1.0,1.0,0.0,lipid metabolism
Rv0643c,1.0,1.0,1.0,1.0,1.0,0.49889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97169,1.0,1.0,1.0,0.96225,0.95145,0.97065,0.37004,1.0,0.93474,1.0,1.0,0.28896,0.0,1.0,0.04525,1.0,0.95861,1.0,1.0,1.0,1.0,0.48814,0.76088,1.0,0.0,0.77099,0.0,1.0,0.12277,0.19433,1.0,0.80919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7054600000000001,1.0,1.0,1.0,1.0,lipid metabolism
Rv0644c,1.0,1.0,1.0,0.98281,1.0,1.0,1.0,1.0,0.11083,1.0,0.11822,0.58404,1.0,0.73814,0.84805,0.92526,0.7472,1.0,0.7561100000000001,0.89112,0.97154,0.20464,1.0,0.04902,0.86179,0.0,0.73175,0.02744,1.0,0.24471,0.5001,0.00775,1.0,1.0,1.0,0.92868,0.49538,1.0,1.0,0.40624,0.73326,1.0,1.0,1.0,0.08438999999999999,0.32405,0.0,1.0,0.06086,1.0,1.0,1.0,1.0,0.27414,1.0,1.0,1.0,1.0,1.0,0.70398,1.0,1.0,1.0,0.6287699999999999,lipid metabolism
Rv0645c,1.0,1.0,1.0,0.85152,1.0,0.53993,1.0,1.0,0.0,0.37275,0.0,0.45972,0.855,0.46732,0.8466899999999999,1.0,0.57145,0.98828,0.72685,0.8146399999999999,0.85554,0.008579999999999999,1.0,0.35566,1.0,0.02064,0.0,0.0,1.0,0.14735,0.17634,0.0,0.41435,1.0,1.0,1.0,0.94439,0.98491,1.0,1.0,0.85734,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.92071,1.0,1.0,0.45418,1.0,1.0,0.51108,0.63156,1.0,1.0,1.0,0.24228,lipid metabolism
Rv0646c,1.0,1.0,1.0,1.0,1.0,0.55948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60004,0.84326,0.74941,0.74365,1.0,0.9956,0.8434,0.88985,0.96308,1.0,0.17218,0.20608,1.0,0.41982,1.0,1.0,0.2199,0.18336,0.78894,1.0,1.0,1.0,1.0,0.35212,1.0,1.0,0.5634,0.6956100000000001,1.0,1.0,1.0,0.09577,0.75043,0.58968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70407,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0648,1.0,1.0,1.0,1.0,1.0,0.83301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83781,0.95912,0.98712,1.0,1.0,0.93055,0.95569,1.0,0.71258,1.0,0.9537,0.45575,1.0,0.8246,1.0,1.0,0.69209,1.0,1.0,1.0,1.0,1.0,1.0,0.13487000000000002,1.0,1.0,0.98404,0.92952,1.0,1.0,1.0,0.95179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91871,1.0,1.0,1.0,0.53888,intermediary metabolism and respiration
Rv0649,1.0,1.0,1.0,1.0,1.0,0.47324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3504,0.32219000000000003,0.87916,0.98904,0.79318,0.95939,0.30184,0.98293,1.0,1.0,0.56395,0.6243,1.0,0.79581,0.5565399999999999,1.0,0.7931600000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.88707,1.0,1.0,0.85539,0.68767,1.0,1.0,1.0,1.0,1.0,0.30269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93585,1.0,1.0,0.60255,1.0,lipid metabolism
Rv0650,1.0,1.0,1.0,1.0,1.0,0.47324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16323,0.32987,1.0,1.0,1.0,1.0,1.0,0.99774,1.0,1.0,0.86234,0.7762399999999999,1.0,0.01946,0.06264,1.0,0.84403,0.6419699999999999,1.0,1.0,1.0,1.0,1.0,0.048,1.0,1.0,1.0,0.7764300000000001,1.0,1.0,1.0,0.8853700000000001,1.0,0.5344399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66809,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61282,1.0,0.18113,1.0,1.0,0.58607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0653c,1.0,1.0,1.0,1.0,1.0,0.34806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95974,1.0,0.92621,1.0,1.0,0.96225,0.58607,1.0,0.06101,1.0,0.99956,0.60765,1.0,0.4554,0.93411,1.0,1.0,0.4593100000000001,1.0,1.0,1.0,1.0,1.0,0.34516,1.0,1.0,0.84634,1.0,1.0,1.0,1.0,1.0,1.0,0.8694799999999999,1.0,1.0,0.09156,1.0,1.0,1.0,1.0,1.0,1.0,0.88079,1.0,1.0,0.43625,1.0,1.0,0.54577,0.16598,regulatory proteins
Rv0654,1.0,1.0,1.0,1.0,1.0,0.41929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78068,1.0,0.98209,0.81082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64286,1.0,1.0,1.0,1.0,0.24139,0.5433,1.0,1.0,1.0,1.0,1.0,0.99179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0655,1.0,1.0,1.0,1.0,1.0,0.56108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76175,1.0,1.0,1.0,1.0,1.0,0.87025,0.76677,0.3741,0.59386,0.90856,0.8894200000000001,1.0,1.0,0.94786,0.86679,0.43675,1.0,0.02271,1.0,1.0,1.0,0.6402,1.0,1.0,1.0,0.8270700000000001,0.77099,1.0,1.0,1.0,1.0,0.43546,0.0114,1.0,1.0,0.69928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8067,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0656c,1.0,1.0,1.0,1.0,1.0,0.47324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99475,0.97107,1.0,0.94268,1.0,1.0,0.73617,1.0,1.0,1.0,0.13584000000000002,1.0,1.0,0.89279,1.0,1.0,0.99686,0.29635,0.57311,0.9656,1.0,1.0,1.0,0.97676,1.0,1.0,0.8409200000000001,1.0,1.0,1.0,1.0,0.97527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.54496,1.0,1.0,1.0,1.0,"virulence, detoxification, adaptation"
Rv0657c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63885,0.97388,0.97882,0.5712,1.0,1.0,1.0,1.0,0.53394,1.0,0.36848,1.0,1.0,0.8292700000000001,0.40175,1.0,0.7931600000000001,0.46449,0.6529699999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95051,1.0,0.8323799999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56061,1.0,1.0,1.0,0.8174899999999999,"virulence, detoxification, adaptation"
Rv0658c,1.0,1.0,1.0,0.95681,1.0,0.2793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37341,0.68412,0.8014399999999999,0.98553,1.0,0.8196399999999999,0.98857,1.0,0.73293,1.0,0.01577,0.1298,1.0,1.0,0.57309,1.0,0.78095,0.87364,1.0,1.0,1.0,1.0,1.0,0.94439,1.0,1.0,0.7265699999999999,0.63472,1.0,1.0,1.0,1.0,1.0,0.96331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0659c,1.0,1.0,1.0,1.0,1.0,0.42209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86431,0.92021,0.98219,0.98766,1.0,1.0,1.0,1.0,0.21995,1.0,0.96503,0.49746,1.0,1.0,0.4691,1.0,0.76937,0.28917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8145100000000001,1.0,1.0,0.70407,1.0,1.0,1.0,1.0,"virulence, detoxification, adaptation"
Rv0660c,1.0,1.0,1.0,1.0,1.0,0.47129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5203899999999999,0.87969,0.87916,0.94115,1.0,1.0,0.96897,1.0,1.0,1.0,0.6257699999999999,0.86179,1.0,0.85557,0.57067,1.0,0.26928,0.37257,0.75129,0.88708,1.0,1.0,1.0,0.7941,1.0,1.0,0.66647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8776799999999999,1.0,1.0,0.62926,1.0,1.0,1.0,0.36888,"virulence, detoxification, adaptation"
Rv0661c,1.0,1.0,1.0,1.0,1.0,0.27792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7850600000000001,0.96804,0.75246,0.7472,1.0,1.0,1.0,0.42186,0.82842,1.0,0.648,0.24812,1.0,0.85564,0.74832,1.0,1.0,1.0,1.0,0.59951,1.0,1.0,1.0,0.47904,0.8720399999999999,1.0,1.0,0.7792600000000001,1.0,1.0,1.0,0.96396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18981,"virulence, detoxification, adaptation"
Rv0662c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45745,0.9553,0.48266,0.98271,1.0,1.0,1.0,0.99537,0.55819,1.0,0.73221,0.64213,1.0,0.44569,0.55998,1.0,1.0,0.8877,1.0,0.47155,1.0,1.0,1.0,0.8394299999999999,1.0,1.0,0.58338,0.72944,1.0,0.44919,1.0,1.0,1.0,0.72235,1.0,1.0,1.0,0.8026800000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76374,1.0,1.0,1.0,1.0,"virulence, detoxification, adaptation"
Rv0663,1.0,1.0,1.0,1.0,1.0,0.47324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40093,0.97149,1.0,0.96513,1.0,0.45755,1.0,0.6621600000000001,0.97417,1.0,0.51807,1.0,1.0,0.37218,1.0,1.0,0.77005,0.94744,1.0,1.0,1.0,1.0,0.56858,0.59082,0.76088,1.0,0.7494,0.41147,1.0,1.0,1.0,0.99057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60127,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0664,1.0,1.0,1.0,1.0,1.0,0.55865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85829,1.0,0.66765,1.0,1.0,0.99214,0.40284,0.8752,0.98267,1.0,0.96503,0.66955,1.0,0.36404,0.3632,1.0,1.0,0.4349,0.15156,1.0,1.0,1.0,1.0,0.22875,0.7751100000000001,1.0,1.0,0.68438,1.0,1.0,1.0,0.7349,1.0,0.98411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64099,1.0,1.0,1.0,1.0,"virulence, detoxification, adaptation"
Rv0665,1.0,1.0,1.0,1.0,1.0,0.5775399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55645,0.96804,1.0,0.8397399999999999,1.0,0.93647,0.99213,1.0,0.99003,1.0,0.6251800000000001,0.62535,1.0,0.7322,0.57202,1.0,0.51964,0.7146600000000001,0.96634,1.0,1.0,1.0,1.0,0.5444,1.0,1.0,1.0,0.88634,1.0,1.0,1.0,0.91716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9072,1.0,1.0,0.94052,1.0,1.0,0.18518,1.0,"virulence, detoxification, adaptation"
Rv0666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22344,1.0,0.5712,1.0,1.0,0.0,0.0035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.78918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22472,0.14354,information pathways
Rv0668,1.0,1.0,1.0,1.0,1.0,0.41968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988,0.51199,0.84396,1.0,1.0,0.66395,1.0,0.74758,1.0,0.12095,0.24501,1.0,1.0,0.25209000000000004,1.0,0.04788,0.17615999999999998,1.0,1.0,1.0,1.0,1.0,0.83239,1.0,1.0,1.0,0.88371,1.0,1.0,1.0,0.27722,0.68353,0.49112,1.0,1.0,0.36077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70398,1.0,1.0,1.0,1.0,information pathways
Rv0669c,1.0,1.0,1.0,1.0,1.0,0.93895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49402,0.26079,1.0,0.93571,1.0,1.0,0.9374,1.0,1.0,1.0,1.0,0.86179,1.0,1.0,0.9757,1.0,0.47105,1.0,1.0,1.0,1.0,1.0,1.0,0.16507,1.0,1.0,0.8200799999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75654,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0670,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6765,0.93778,0.91715,0.8327,1.0,1.0,0.95826,1.0,0.99003,1.0,0.013580000000000002,0.44693,1.0,0.37759,1.0,1.0,1.0,0.99703,1.0,0.7813100000000001,1.0,1.0,1.0,0.60563,1.0,1.0,1.0,0.8367399999999999,1.0,1.0,1.0,0.98754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5521,1.0,1.0,1.0,1.0,information pathways
Rv0671,1.0,1.0,1.0,1.0,1.0,0.61242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40045,1.0,0.83468,0.98621,1.0,0.32269000000000003,1.0,0.80707,1.0,1.0,0.72146,0.74162,1.0,0.02199,0.57067,1.0,0.25589,0.8272200000000001,0.89269,1.0,1.0,1.0,1.0,0.99865,1.0,1.0,0.76935,1.0,1.0,1.0,1.0,1.0,1.0,0.95122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0672,1.0,1.0,1.0,1.0,1.0,0.69512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68553,0.52825,0.66814,0.69858,1.0,1.0,1.0,0.26646,1.0,1.0,0.99623,1.0,1.0,1.0,1.0,1.0,0.96585,1.0,1.0,1.0,1.0,1.0,0.9768,0.475,1.0,1.0,1.0,0.90778,1.0,1.0,1.0,0.97527,1.0,1.0,1.0,1.0,0.59292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96834,1.0,1.0,1.0,1.0,lipid metabolism
