"","ORF","Name","Description","Final.Call","tuberculist","tbdb","kegg","pubmed","google","pubmed_name","google_name","essentiality","geneName"
"875","Rv0850","Rv0850","Putative transposase (fragment)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0850' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0850' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0850' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0850' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0850' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0850' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0850' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0850"
"876","Rv0851c","Rv0851c","Probable short-chain type dehydrogenase/reductase","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0851c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0851c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0851c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0851c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0851c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0851c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0851c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0851c"
"877","Rv0852","fadD16","Possible fatty-acid-CoA ligase FadD16 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0852' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0852' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0852' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0852' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0852' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fadD16' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fadD16' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0852"
"878","Rv0853c","pdc","Probable pyruvate or indole-3-pyruvate decarboxylase Pdc","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0853c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0853c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0853c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0853c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0853c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=pdc' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=pdc' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0853c"
"879","Rv0854","Rv0854","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0854' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0854' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0854' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0854' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0854' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0854' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0854' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0854"
"880","Rv0855","far","Probable fatty-acid-CoA racemase Far","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0855' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0855' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0855' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0855' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0855' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=far' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=far' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0855"
"881","Rv0856","Rv0856","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0856' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0856' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0856' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0856' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0856' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0856' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0856' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0856"
"882","Rv0857","Rv0857","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0857' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0857' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0857' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0857' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0857' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0857' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0857' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0857"
"883","Rv0858c","dapC","Probable N-succinyldiaminopimelate aminotransferase DapC (DAP-at)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0858c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0858c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0858c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0858c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0858c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dapC' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dapC' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0858c"
"884","Rv0859","fadA","Possible acyl-CoA thiolase FadA","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0859' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0859' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0859' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0859' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0859' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fadA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fadA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0859"
"885","Rv0860","fadB","Probable fatty oxidation protein FadB","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0860' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0860' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0860' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0860' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0860' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fadB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fadB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0860"
"886","Rv0861c","ercc3","DNA helicase Ercc3","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0861c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0861c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0861c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0861c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0861c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=ercc3' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=ercc3' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0861c"
"887","Rv0862c","Rv0862c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0862c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0862c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0862c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0862c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0862c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0862c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0862c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0862c"
"888","Rv0863","Rv0863","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0863' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0863' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0863' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0863' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0863' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0863' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0863' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0863"
"889","Rv0864","moaC2","Probable molybdenum cofactor biosynthesis protein C 2 MoaC2","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0864' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0864' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0864' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0864' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0864' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=moaC2' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=moaC2' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0864"
"890","Rv0865","mog","Probable molybdopterin biosynthesis Mog protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0865' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0865' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0865' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0865' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0865' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=mog' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=mog' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0865"
"891","Rv0866","moaE2","Probable molybdenum cofactor biosynthesis protein E2 MoaE2 (molybdopterin converting factor large subunit) (molybdopterin [MPT] converting factor, subunit 2)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0866' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0866' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0866' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0866' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0866' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=moaE2' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=moaE2' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0866"
"892","Rv0867c","rpfA","Possible resuscitation-promoting factor RpfA","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0867c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0867c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0867c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0867c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0867c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=rpfA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=rpfA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0867c"
"893","Rv0868c","moaD2","Probable molybdenum cofactor biosynthesis protein D 2 MoaD2 (molybdopterin converting factor small subunit) (molybdopterin [MPT] converting factor, subunit 1)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0868c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0868c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0868c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0868c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0868c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=moaD2' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=moaD2' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0868c"
"894","Rv0869c","moaA2","Probable molybdenum cofactor biosynthesis protein A2 MoaA2","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0869c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0869c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0869c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0869c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0869c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=moaA2' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=moaA2' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0869c"
"895","Rv0870c","Rv0870c","Possible conserved integral membrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0870c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0870c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0870c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0870c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0870c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0870c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0870c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0870c"
"896","Rv0871","cspB","Probable cold shock-like protein B CspB","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0871' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0871' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0871' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0871' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0871' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=cspB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=cspB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0871"
"897","Rv0872c","PE_PGRS15","PE-PGRS family protein PE_PGRS15","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0872c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0872c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0872c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0872c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0872c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PE_PGRS15' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PE_PGRS15' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0872c"
"898","Rv0873","fadE10","Probable acyl-CoA dehydrogenase FadE10","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0873' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0873' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0873' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0873' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0873' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fadE10' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fadE10' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0873"
"899","Rv0874c","Rv0874c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0874c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0874c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0874c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0874c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0874c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0874c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0874c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0874c"
"900","Rv0875c","Rv0875c","Possible conserved exported protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0875c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0875c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0875c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0875c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0875c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0875c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0875c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0875c"
"901","Rv0876c","Rv0876c","Possible conserved transmembrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0876c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0876c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0876c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0876c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0876c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0876c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0876c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0876c"
"902","Rv0877","Rv0877","hypothetical protein","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv0877' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0877' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0877' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0877' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0877' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0877' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0877' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv0877"
"903","Rv0878c","PPE13","PPE family protein PPE13","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv0878c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0878c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0878c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0878c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0878c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PPE13' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PPE13' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv0878c"
"904","Rv0879c","Rv0879c","Possible conserved transmembrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0879c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0879c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0879c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0879c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0879c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0879c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0879c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0879c"
"905","Rv0880","Rv0880","Possible transcriptional regulatory protein (possibly MarR-family)","Uncertain","<a href='https://mycobrowser.epfl.ch/genes/Rv0880' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0880' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0880' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0880' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0880' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0880' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0880' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Uncertain","<span style=""font-weight:bold"">ORF: </span>Rv0880"
